Text,Null copula,Person/num. agreement,Multiple negators,Existential it/dey,Perfect done,Remote past BIN, Habitual be
"P:	 This is Breanne Palmer and Nialah Summers.",,,,,,,
"P:	 It’s September twenty-third and we are at Ruleville Central High School with our friend; Doctor Darron L Edwards and he’s going to just introduce himself and tell us; um; a bit about his life.",,,,,,,
"P:	 So if you just state your name please.",,,,,,,
"E:	 Um; my name is Darron Edwards and I’m a second year principal here at Ruleville Central High School; the school where I graduated from; um; my siblings; my brother; my sister; uh; all graduated from this school; as well as my parents.",,,,,,,
"E:	 So it’s a privilege to be a part of this particular process.",,,,,,,
"S:	 What’s your date of birth?",,,,,,,
"E:	 Ten-sixteen-sixty-eight.",,,,,,,
"S:	 Perfect.",,,,,,,
"S:	 Can you tell us a bit about your family?",,,,,,,
"S:	 You said you had a brother and a sister—",,,,,,,
"E:	 Sure.",,,,,,,
"E:	 I’m the oldest of three children.",,,,,,,
"E:	 My Father’s parents lived in this town and they were very very active in the community.",,,,,,,
"E:	 And my Father—it was four children; two boys and two girls.",,,,1,,,
"E:	 Uh my Father was next to the youngest and he actually uh was the f-; second Black principal of this particular high school.",,,,,,,
"E:	 And he was also the first uh superintendent of this particular school district.",,,,,,,
"S:	 What was his name?",,,,,,,
"E:	 Thomas Edwards Senior.",,,,,,,
"E:	 Um we all participated in sports; here at the high school.",,,,,,,
"E:	 And it’s kind of very interesting because it’s five of us with my Mother; my brother; my sister; my Father; and we all played sports; we all graduated from here.",,,,1,,,
"E:	 And I’m the only one left.",,,,,,,
"E:	 Everybody else moved away.",,,,,,,
"E:	 So; it’s interesting because my Mother; my Father are still here; they’re still leaders in this community.",1*,,,,,,
"E:	 And this is a position that I never dreamed of having; never had a desire or a wish to have; but I feel like it was done because of God’s will.",,,,,,,
"E:	 Because I never ask to have this position; but interestingly enough; I was a college professor.",,,,,,,
"E:	 And I did consulting work for all of the public school districts in this area.",,,,,,,
"E:	 So doing consulting work in the area; it just made it even less interesting for me; to want to be a part of public education.",,,,,,,
"E:	 But my father’s the one who’s responsible; because he always encouraged me; he said you would like it if you get into it.",,,,,,,
"E:	 But what happened was; I had certification to be a counselor; and I never pursued it.",,,,,,,
"E:	 So; an administrator’s exam was coming up and I kinda tested my fate and my faith; uh; with God; because I didn’t study or prepare for the exam.",,,,,,,
"E:	 I didn't; and it’s real interesting because my Father encouraged me to take it and it was pretty expensive; so I enrolled and I said that I was gonna take the test and I said well; God I will see if this is for me.",,,,,,,
"E:	 If it’s not for me I’ll stay and continue to work in higher education.",,,,,,,
"E:	 Something that I enjoyed; and I enjoyed the flexibility.",,,,,,,
"E:	 I just didn’t wanna be confined.",,,,,,,
"S:	Right.",,,,,,,
"E:	 So the weekend of the test—I had a cousin who had some material about the test; and he gave it to me.",,,,,,,
"E:	 And; uh; I got it and looked over it; didn’t study it; put it to the side.",,,,,,,
"E:	 And I said a prayer; I said Lord well; if this is what you want for me to do—I don’t need to prepare.",,,,,,,
"E:	 The knowledge that I possess will be sufficient enough to make a satisfactory score to qualify to be an administrator in public education.",,,,,,,
"E:	 So I went and took the test and it was real easy.",,,,,,,
"E:	 You know; it was just very very easy.",,,,,,,
"E:	 And when I got the results back; they were satisfactory for any school in the United States of America; for me to be an administrator.",,,,,,,
"S:	Wow.",,,,,,,
"E:	 And that’s when I said—I started preparing to transition.",,,,,,,
"E:	 So um that’s how I got into this position; because at the time when I came to work uh in Ruleville on public education; my Father was still the superintendent.",,,,,,,
"E:	 So he retired; after that they had another superintendent who was elected; um and the Mississippi Department of Education abolished that superintendent as well as that school board.",,,,,,,
"E:	 So that’s when the state took over our schools;,,,,,,,
S:	Right.,,,,,,,
E:	 of this county.",,,,,,,
"E:	 So and Ruleville Central High School was one of those schools.",,,,,,,
"E:	 At the time; they were classified as being a failing school; and that’s something that this high school has never experienced before.",,,,,,,
"E:	 Historically; we’ve always been a successful district; and this school has always performed; regionally; pretty well.",,,,,,,
"E:	 So we’ve never experienced low test scores; under-performing uh students; or anything of the sort.",,,,,,,
"S:	Right.",,,,,,,
"E:	 So; to have that; it was something that was very uncomfortable; uneasy; and anxiety-filled for this community.",,,,,,,
"S:	Right.",,,,,,,
"E:	 You know to be able—to not to have people that are personable; accessible; and the stakeholders in this community to run the school district.",,,,,,,
"E:	 So it was something new.",,,,,,,
"E:	 So to have the school district being classified as a failing school was something that people were really really interested in making sure that they played a role in changing that; so it could go back to some of the traditions; academically; that existed here.",,,,,,,
"E:	 So being a part of that process; uh it was something that I think a lot of people were nervous about—me coming in.",,,,,,,
"E:	 But uh no one; I think; was more confident in my ability; than my parents.",,,,,,,
"E:	 Uh it w- I can just talk to you—that’s my son—for days and days and days—",,,,,,,
"S:	 Pause it.",,,,,,,
"E:	 Can we do it right qucik—",,,,,,,
"S:	 Mhmm.",,,,,,,
"E:	 We were talking about my motivation and I think; for my parents; to have their oldest child to be a leader in the community that they both grew up in; and one that I grew up in as well; uh was very very meaningful to them.",,,,,,,
"S:	Mm hm.",,,,,,,
"E:	 And I don’t think that they could have been more proud of uh me.",,,,,,,
"E:	 Even when I got my PhD; I think this was a lot more meaningful to them.",,,,,,,
"E:	 So uh to me that serves as a sense of uh motivation; but it also serves um for me as a higher order; of making sure that what’s expected of me is fulfilled; not just for myself; but making sure that everything I do; with the decisions I make; the choices I make; and the manner in which I conduct myself is one that would make them proud as well.",,,,,,,
"E:	 So it’s special; and to know that this is the school that my Father worked in; my Mother worked in; and to know that their reputations are one that are still well-respected and well-viewed and perceived in this community.",,,,,,,
"E:	 Also; um kind of increases the standards that you operate by—
S:	Mm hm.,,,,,,,
E:	so it’s good.",,,,,,,
"S:	Right.",,,,,,,
"E:	 I mean; I always look at it as a blessing because it could be on the other end of the spectrum.",,,,,,,
"E:	 And you could have leaders who have tainted or tarnished images and then you have to follow those.",,,,,,,
"S:	Right.",,,,,,,
