Speaker,Text,Null copula,Person/num. agreement,Multiple negators,Existential it/dey,Perfect done,Remote past BIN,Habitual be
W:,"All right, I’m going to pull up a little closer.",0,0,0,0,0,0,0
W:,And we are recording.,0,0,0,0,0,0,0
W:,If you could you repeat for me your name?,0,0,0,0,0,0,0
B:,Diana Clifton Bell.,0,0,0,0,0,0,0
W:,Okay.,0,0,0,0,0,0,0
W:,And when did you attend the University of Florida?,0,0,0,0,0,0,0
B:,I attended the University of Florida from 1967 to 1969 as undergrad.,0,0,0,0,0,0,0
B:,"And I returned in 71, received a master’s in 72.",0,0,0,0,0,0,0
W:,"Okay, in what subjects?",0,0,0,0,0,0,0
B:,"As an undergrad, I majored in Language Arts—English, as we called it then— Education, and my master’s program involved Special Education.",0,0,0,0,0,0,0
B:,I received a master’s in Mental Retardation.,0,0,0,0,0,0,0
W:,Okay .,0,0,0,0,0,0,0
W:,"So, could one assume , then, that you worked with the Education school?",0,0,0,0,0,0,0
B:,Yes.  teacher.,0,0,0,0,0,0,0
W:,Okay.,0,0,0,0,0,0,0
W:,And where were you from when you went to school?,0,0,0,0,0,0,0
W:,We’ll start with that.,0,0,0,0,0,0,0
B:,"I’m from Daytona Beach, Florida.",0,0,0,0,0,0,0
W:,Do you still live there?,0,0,0,0,0,0,0
B:,Yes.,0,0,0,0,0,0,0
W:,And you went right back to Daytona Beach.,0,0,0,0,0,0,0
B:,"I didn’t go back immediately, but eventually I went back.",0,0,0,0,0,0,0
W:,"And you could first of all, in sort of a general way, reflect on your experiences at UF.",0,0,0,0,0,0,0
W:,"It sounds like you were here for —I didn’t do the math in my head; about four years, sounds standard.",0,0,0,0,0,0,0
B:,Yes.,0,0,0,0,0,0,0
B:,"I got my —well, I did my undergrad—well , I came here as a junior college transfer.",0,0,0,0,0,0,0
W:,"Oh, okay .",0,0,0,0,0,0,0
W:,From where?,0,0,0,0,0,0,0
B:,From Daytona Beach.,0,0,0,0,0,0,0
B:,I went to Daytona Beach Junior College at the time.,0,0,0,0,0,0,0
B:,"I came here as a junior in  67, and I graduated in 69.",0,0,0,0,0,0,0
W:,Okay .,0,0,0,0,0,0,0
W:,"Now, that strikes me as an American generalist, that’s a very interesting time in American education al history for colleges.",0,0,0,0,0,0,0
W:,"What were your experiences here at UF, both as part of the general population, but also as an African American student?",0,0,0,0,0,0,0
B:,"In general, the late  60s was a very, shall I say turbulent time in our history?",0,0,0,0,0,0,0
B:,"A time of social unrest, a lot with the new era of thinking in terms of the whole free love scene, and the drug culture, and of course Civil Rights was a very big thing for me, being an African American— and in fact for the country, because it meant a lot of changes, and a great challenge for the country.",0,1,0,0,0,0,0
W:,"Now, what activities —now, that’s America, but what activities were here at University of Florida?",0,0,0,0,0,0,0
B:,"Well, at the University of Florida , there were a lot of activities, most of which I felt excluded from ?",0,0,0,0,0,0,0
W:,Give me an example.,0,0,0,0,0,0,0
B:,The sororities.,0,0,0,0,0,0,0
B:,"And just, there were no organizations that I received invitations to join.",0,0,0,0,0,0,0
B:,But I really wasn’t worried about it.,0,0,0,0,0,0,0
B:,And I didn’t seek to join.,0,0,0,0,0,0,0
B:,"I think I was a little bit sensitive , and I felt like , “Okay, you’re going there, you going to get an education, and you’re not going to really worry about pushing the envelope.”",1,0,0,0,0,0,0
B:,"You know, just do what you have to do.",0,0,0,0,0,0,0
B:,"But I must say , it was a very pleasant experience for me.",0,0,0,0,0,0,0
B:,I came as the daughter of two parents who had not finished high school.,0,0,0,0,0,0,0
B:,And I was the oldest in my family .,0,0,0,0,0,0,0
B:,"And I had relatives here, and I was happy to be here.",0,0,0,0,0,0,0
W:,Relatives in Gainesville?,0,0,0,0,0,0,0
B:,"Yes, and I was happy to be here.",0,0,0,0,0,0,0
B:,So.,0,0,0,0,0,0,0
B:,"You know , even though I felt like things were not exactly open to me, I was not unhappy about it.",0,0,0,0,0,0,0
B:,"I was a member of a very small group of Black students that were here at the time, and we set about creating a place for ourselves .",0,0,0,0,0,0,0
B:,"And we established the first Black Student Union in my junior year, my first year here.",0,0,0,0,0,0,0
B:,"And that was something that I became very involved in, bringing national Black figures here to speak to the city and students about issues that were coming up.",0,0,0,0,0,0,0
W:,"Do you remember any of them, the names, the—?",0,0,0,0,0,0,0
B:,Adam Clayton Powell.,0,0,0,0,0,0,0
B:,And I believe Muhammad Ali.,0,0,0,0,0,0,0
B:,I believe I remember him coming.,0,0,0,0,0,0,0
