Speaker,Text,Null copula,Person/num. agreement,Multiple negators,Existential it/dey,Perfect done,Remote past BIN,Habitual be
W:,"This is Marna Weston for the Samuel Proctor Oral History Program at the Bartow Civic Center,at the Union Academy Reunion on July 27, 2012.",,,,,,,
W:,I'm here with Ms. Lewis.,,,,,,,
W:,Thank you very much Ms. Lewis for talking to me today.,,,,,,,
L:,You're welcome.,,,,,,,
W:,Would you please state and spell your full name?,,,,,,,
L:,"Vendarae Lewis spelled V -E-N-D-A-R-A-E, last name is Lewis, L- E-W-I-S.",,,,,,,
W:,And what class are you a member of for Union Academy?,,,,,,,
L:,"Actually, I only attended Union Academy from seventh grade, the last year that Union Academy was in existence.",,,,,,,
L:,So that would have been 1969.,,,,,,,
W:,"What is your day and date of birth, please?",,,,,,,
L:,"I was born May 1, 1956.",,,,,,,
W:,And who are your mother and father?,,,,,,,
L:,"Sonia Walden-Washington, my mother.",,,,,,,
L:,And Samuel Washington is my father.,,,,,,,
W:,And do you know where they came from and how they originally came to this area?,,,,,,,
L:,"My mother was probably fifth generation Bartow, Polk County.",,,,,,,
L:,"My father, the second -- actually he's the first generation to be born here in this part of the world.",,,,,,,
L:,Both his parents were born in South Carolina.,,,,,,,
W:,Could you tell me a little bit about his parents?,,,,,,,
L:,His mother's name was Maggie Harren-Washington.,,,,,,,
L:,"She was from Fairfax, South Carolina.",,,,,,,
L:,"And his father was Paul Washington from Richburg, South Carolina.",,,,,,,
W:,And do you know anything about their parents?,,,,,,,
L:,"I don't know the names -- my grandfather's name actually was Carter, apparently.",,,,,,,
L:,"His stepfather -- his mother remarried and some of the children just took the stepfather's name, Carter, but -- they took Washington, but they were actually Carters.",,,,,,,
L:,I didn't know that till I was grown.,,,,,,,
L:,But I can't think of the first names of his parents.,,,,,,,
L:,"My mother's parents were James and Alberta Harren and both of them were born in Polk County, in Bartow.",,,,,,,
W:,Do you recall your mom and dad's birthdays?,,,,,,,
L:,"Yeah, my mother's birthday is March 7, 1921.",,,,,,,
L:,"My dad's birthday was April 8, 1907.",,,,,,,
W:,Do have brothers and sisters?,,,,,,,
L:,Yeah.,,,,,,,
W:,"Could you list them from oldest to youngest, please?",,,,,,,
L:,I only have a brother and a sister from my father's first marriages.,,,,,,,
L:,My sister is still living.,,,,,,,
L:,Her name is Celeste Washington-Crosby.,,,,,,,
L:,She's actually eight years younger than my mother.,,,,,,,
L:,And she's living here,,,,,,,
L:,and she's a retired educator.,,,,,,,
L:,She lives here in Bartow.,,,,,,,
L:,"My brother, Booker T. Washington, died almost two years ago.",,,,,,,
W:,I'm very sorry for your loss.,,,,,,,
L:,They're just about a year apart in age.,,,,,,,
L:,"So both of them were old enough to be like my, more or less relationshipwise, like uncle and aunt than brother and sister.",,,,,,,
L:,"My nieces and nephews, Mitt and Beverly, were more like my age so we were close.",,,,,,,
W:,Can you tell me about your immediate family?,,,,,,,
W:,Your husband?,,,,,,,
W:,If you have children?,,,,,,,
L:,I do.,,,,,,,
L:,My husband's name is Clifton Lewis.,,,,,,,
L:,This is his second marriage.,,,,,,,
L:,"He has four children, two older girls from his first marriage and my son and my daughter he",,,,,,,
L:,and I have together.,,,,,,,
W:,And what are their names?,,,,,,,
L:,Maya Lewis-Johnson and my son is Cameron Lewis.,,,,,,,
W:,And what are their birthdays and your husband,,,,,,,
W:,"s too, if you can recall it?",,,,,,,
L:,"My husband was born December 24, 1942.",,,,,,,
L:,"My daughter was born February 23, 1983 and my son was born November 19, 1986.",,,,,,,
W:,What was it like growing up at home?,,,,,,,
W:,Describe your home life.,,,,,,,
W:,Did you have chores?,,,,,,,
W:,Were there things that your parents had you do?,,,,,,,
W:,What was a typical day with your brother and your sister and your folks like at home?,,,,,,,
L:,"Well, my brother and sister were both grown when I was born.",,,,,,,
L:,My sister had a son who was already five years older when I was born.,,,,,,,
L:,Her baby was about seven months older than I am.,,,,,,,
L:,"And they were both -- like I said, I didn't grow up with them.",,,,,,,
L:,My brother either.,,,,,,,
L:,"His daughter -- two girls, one was a year behind me and the other was two years younger.",,,,,,,
L:,I grew up as an only child pretty much.,,,,,,,
L:,I did have chores.,,,,,,,
L:,I tell people -- they're arguing about whose week it is to wash dishes.,,,,,,,
L:,"I tell them, my week is every week.",,,,,,,
L:,Every day is my day --,,,,,,,
W:,You're doing them by yourself!,,,,,,,
L:,That's right.,,,,,,,
L:,That's right.,,,,,,,
L:,So I did have things that I had to do and my mother would just roll out a litany of things that I needed to -- this is what you need to do and expected it to be done.,,,,,,,
L:,"So even though people think that I was spoiled, I was blessed.",,,,,,,
L:,I don't think I was really spoiled.,,,,,,,
W:,What would some of those things be?,,,,,,,
L:,You had to make your bed.,,,,,,,
L:,"You had to clean up behind yourself, make sure the dishes were washed, make sure that you squeezed the lemons for the lemonade that my granddad had to have lemonade every day.",,,,,,,
L:,Fresh squeezed until I went to college when we discovered Country Time.,,,,,,,
L:,Take the garbage out; things that you had to do.,,,,,,,
L:,"Taught me how to cook -- my mom taught me how to cook, how to bake.",,,,,,,
L:,Stuff like that.,,,,,,,
L:,"She was a beautician, operated a beauty salon for fifty-two years.",,,,,,,
L:,My daughter operates that beauty salon today.,,,,,,,
W:,What's the name of that salon?,,,,,,,
L:,Today it's called -- I just had a brain freeze.,,,,,,,
L:,Lord have mercy.,,,,,,,
L:,I truly have had a brain freeze.,,,,,,,
L:,"Well anyway, my daughter operates the beauty salon.",,,,,,,
L:,"I can't even think -- Artistry by Maya is what she calls it, but it was the Sonia's Beauty Chest for many, many, many, many years.",,,,,,,
L:,"My grandfather built it for my mother, and when she went up to FAMC and got homesick and came back, he built that beauty salon and she operated it for fifty-two years.",,,,,,,
W:,What is your earliest memory of education?,,,,,,,
