Speaker,Text,Null copula,Person/num. agreement,Multiple negators,Existential it/dey,Perfect done,Remote past BIN,Habitual be
W:,"This is Marna Weston from the Samuel Proctor Oral History Program, on November 25th, 2012, at Greater New Hope Missionary Baptist Church in Bland, Florida, on South County Road 241.",,,,,,,
W:,"I'm interviewing Mr. Cornelius Towns, associated with the A.L.",,,,,,,
W:,Mebane homecoming closing ceremonies that were held here today.,,,,,,,
W:,"Mr. Towns, thank you very much for agreeing to the interview.",,,,,,,
T:,Thank you.,,,,,,,
T:,What you want to know?,,,,,,,
W:,When and where were you born?,,,,,,,
T:,"Reynolds , Georgia.",,,,,,,
T:,"September 11th, 1929.",,,,,,,
W:,What county is Reynolds in?,,,,,,,
T:,That's Taylor County.,,,,,,,
W:,Taylor County?,,,,,,,
T:,Yeah.,,,,,,,
W:,"Where, if you were looking at Georgia -- if a person' s hand was Georgia -- what part would Reynolds and Taylor County be in?",,,,,,,
T:,"That would be up in the west, in that's going southwest Georgia.",,,,,,,
W:,"Okay, next to Albany, Randolph County area?",,,,,,,
T:,"Yeah, where you come back up, mmhm.",,,,,,,
T:,Reynolds between Albany and Peach County.,1,,,,,,
W:,Who are your mother and father?,,,,,,,
T:,My momma's Naomi Bryan.,,,,,,,
T:,"Father, unknown.",,,,,,,
W:,And when was your mother born?,,,,,,,
T:,"Let me see now; she was born in December the 12th, 1910.",,,,,,,
W:,How about her mother and father?,,,,,,,
W:,What do you know about her -- ,,,,,,,
T:,"I don't know nothing, I don't know about them.",,,1,,,,
W:,Do you have brothers and sisters?,,,,,,,
T:,One sister.,,,,,,,
W:,Can you state her name?,,,,,,,
T:,Sarah Cross.,,,,,,,
W:,And is she still -- ,,,,,,,
T:,Deceased.,,,,,,,
W:,Deceased.,,,,,,,
T:,"Mmhm, another brother deceased.",,,,,,,
W:,Could you list your brothers and sisters in order of birth?,,,,,,,
T:,My brother was the youngest child.,,,,,,,
T:,He died -- he live only two years .,,1,,,,,
T:,"Which, he was born in 32, died in 34.",,,,,,,
W:,What was his name?,,,,,,,
T:,Richard.,,,,,,,
T:,Richard Towns.,,,,,,,
W:,Why was coming to the A .L. Mebane reunion important for you?,,,,,,,
W:,And do you come every year?,,,,,,,
T:,"No, because I had a friend was supposed to be here.",,,,,,,
T:,"That we was, that I've known through boyhood, we went to school together and played football together.",,1,,,,,
T:,"And, after we went to the Korean War, they departed each ways, and I haven't seen him since in about forty years, fifty years, mmhm.",,,,,,,
T:,That's what my purpose coming here today.,,,,,,,
W:,"Anticipate that he was going to be here today, perhaps?",,,,,,,
T:,"That's what I was told, mmhm.",,,,,,,
W:,What was your first memory of education?,,,,,,,
T:,My first memory of education was when I -- Mrs.,,,,,,,
T:,"Welch, I used to didn't like to read.",,,,,,,
T:,"And, she the one taught me the purpose of reading.",1,,,,,,
T:,"With that ruler in her hand: every time you miss a word, she'd hit you in the hand with it.",,,,,,,
T:,"Which she's still living today, mmhm.",,,,,,,
T:,Her and Mr. Welch.,,,,,,,
W:,Where was that school that you went to located and what was the name of that school?,,,,,,,
T:,Alachua County Training School.,,,,,,,
T:,"It's up on the -- I can't tell you the name, but it's where the parade come by, where the Hitchcock, that subdivision up there,",,1,,,,,
T:,that's where is. Mmhm.,,,,,,,
W:,What grades did you go to at that school?,,,,,,,
T:,From one to twelve.,,,,,,,
W:,"And how big was that school, how many students would you say went there?",,,,,,,
T:,It was twelve.,,,,1,,,
T:,It was from -- everything was in there from first to twelve.,,,,,,,
W:,Would you say it was a hundred students?,,,,,,,
W:,Two hundred students?,,,,,,,
W:,Three hundred?,,,,,,,
W:,Less?,,,,,,,
T:,"Maybe about three hundred, mmhm.",,,,,,,
W:,That school doesn't exist anymore.,,,,,,,
W:,"So, when did it close?",,,,,,,
T:,In 56.,,,,,,,
W:,Who was the principal?,,,,,,,
T:,C.O. Whitfield.,,,,,,,
W:,"And, did Principal Whitfield also teach classes?",,,,,,,
T:,"No, he was the -- no , he didn't teach classes.",,,,,,,
T:,"That's all he done, principalship.",,,,,,,
W:,"So when you left Alachua County Training School, then you went to Mebane?",,,,,,,
T:,We all was in the same building; you didn't have to go nowhere.,,1,1,,,,
W:,"Oh, okay.",,,,,,,
W:,"So what was it, the middle school was called the training school?",,,,,,,
T:,"In the same, on the same campus there.",,,,,,,
T:,Right.,,,,,,,
W:,"Okay so who was your favorite teacher in the early part of it, before you got to the high school part of it?",,,,,,,
W:,Who was your favorite teacher and what subjects did you like?,,,,,,,
T:,"I likeded history, which was taught by Maude Lewis.",,,,,,,
T:,"And in fact, she's got her property, it's a park in Alachua named in her honor right across from where the old school used to be.",,,,,,,
T:,She gave her property to the city of Alachua.,,,,,,,
T:,"That was, I learned history from her, mmhm.",,,,,,,
T:,"I always liked history, because it was during the World War II, I likeded to read about the war.",,,,,,,
T:,We didn't have TVs then.,,,,,,,
T:,And my mom took the Times Union so I could read about the war in the Pacific and in Germany.,,,,,,,
T:,That's where my interests come from about the history part.,,,,,,,
W:,"Now, when you got to the high school part of it, did the classes get more difficult, was it more of a social change?",,,,,,,
W:,"What would you say was the difference between the lower school part, eighth grade, and then the upper school part after ninth grade?",,,,,,,
T:,"Really, the change didn't start until I got in tenth grade.",,,,,,,
T:,It's all the same to me.,,,,,,,
T:,"Listening wasn't hard, but the teachers taught different than they do to day, see?",,,,,,,
T:,"The child was a slow learner, they had four classes in the classroom: A, B, C, and D. No child want to be in the D; so she would let the A and B students, she would teach to the two lowest classes, and let the other students do homework in the classroom.",,,,,,,
T:,That's why it should be like that today.,,,,,,,
T:,"They would help the one needed it, that's what to me it was.",,,,,,,
T:,"They would help the one that really needed it, mmhm.",,,,,,,
T:,"And we had a lot of folks, if one was slow, in a couple of years they was right up there with us.",,1,,,,,
W:,"So, do you feel that the schools then had more of a focus on remedial to bring everybody else up, and now a student can flounder on their own?",,,,,,,
T:,"Right, mmhm.",,,,,,,
W:,Why do you think that change happened from the way school used to be then to how it is now?,,,,,,,
T:,"Because I had -- I got six children, and I monitored them going to school.",,,,,,,
T:,"Which, the situation is different.",,,,,,,
W:,Could you list your children from oldest to youngest?,,,,,,,
T:,"Kenneth, my oldest son; Velda, my oldest daughter; Richard, my son; then my son Tim; then my son Michael; and then I got another daughter, Denise.",,,,,,,
W:,And how did you meet their mother?,,,,,,,
T:,I met their mother in Jacksonville.,,,,,,,
T:,"During the time we was travelling, I was going to Chicago to live with my uncle, and I saw her at the train station.",,1,,,,,
T:,That's how we met.,,,,,,,
T:,"And I met her in Jacksonville, and she passed in Jacksonville -- which was this year.",,,,,,,
W:,Oh I'm very sorry for your loss.,,,,,,,
W:,What was your wife's name?,,,,,,,
T:,Odell .,,,,,,,
T:,Her middle name was Wilma.,,,,,,,
T:,"She didn't like that name, we used to call her Odell.",,,,,,,
W:,"So, how long were you all married and had a family together?",,,,,,,
W:,How many years?,,,,,,,
T:,Sixty-two years.,,,,,,,
W:,Can you say that number again?,,,,,,,
T:,Sixty-two.,,,,,,,
W:,"Okay, so, sixty-two years.",,,,,,,
T:,Right.,,,,,,,
W:,"That's a long time, a lot of memories!",,,,,,,
T:,Sixty-two years.,,,,,,,
W:,"Is there a particular memory that maybe is not so private you wouldn't say it in public, but something that you want to say to just to demonstrate your feeling for your wife?",,,,,,,
W:,"For someone maybe listening to this later on that didn't know her, how would you describe your life together?",,,,,,,
