Text,Null copula,Person/num. agreement,Multiple negators,Existential it/dey,Perfect done,Remote past BIN, Habitual be
G: 	 So I’m Katie Gresham here with David Faison on March 11th at Silver Springs.,,,,,,,
G: 	 So; I’m just going to ask you first how did you become a boat driver here at Silver Springs?,,,,,,,
F:	 Well; I had a brother here he came here in 56 me in 57 and we’re about the two oldest things here right now.,1*,,,,,,
F:	And when I come uh uh I like what I seen.,,,,,,,
"F:	 I was training; I was trained, and I begin to uh take people out and I made everybody so happy so I enjoyed doing what I was doing; that’s the reason for me putting as many years into this place as I have; cause I was enjoying what I was doing.",,,,,,,
F:	 That’s making somebody happy.,,,,,,,
G:	 So; were you hired by Rayan Davidson originally?,,,,,,,
F:	 Sorry?,,,,,,,
G:	 Rayan Davidson?,,,,,,,
G:	 The people who owned it?,,,,,,,
F: 	 Yeah.,,,,,,,
F: 	 Yeah they hired me right there.,,,,,,,
F: 	 First one you’re looking at is Corey; next one in the middle is old-man Dave they was piloting ships together.,,1,,,,,
F: 	 And then the one out there about in the far left that was his son; Buckley; those were the guys that hired me back; 1957.,,,,,,,
G:	 Wow!,,,,,,,
G:	 So how- your brother worked here a year before you did?,,,,,,,
F: 	 Yeah he come here in 56 me in 57.,,,,,,,
F: 	 We are the two oldest things here right now.,1*,,,,,,
G: 	 So how were you treated as a boat driver?,,,,,,,
F:	 Oh; I loved doing what I was doing.,,,,,,,
F:	 I loved it because I made a lot of people happy.,,1*,,,,,
F:	 We would go down there back in the day because there was a whole lot more to see then than what we are seeing today.,,,,,,,
G: 	 Um-hm; what was different?,,,,,,,
F:	 We would; well; we had more fish.,,,,,,,
F:	 I remember a time I could take that boat I could spin it ‘round I don’t care where in that river and I’d have that glass just full of blue-gill and bream as you could see.,,,,,,,
G: 	 So what happened to the fish?,,,,,,,
F:	 They began to dribble away.,,,,,,,
"F:	 When they started with the state barge canal; they say they was gonna finish it I don’t think they are, they ain’t finished it so far; I doubt that they- ",,,,,,,
F:	 But anyway; that’s cause it was wars.,,,,,,,
"F:	 In those days it was just two things going; Silver Springs, Cypress Gardens; those were the two main attractions back in the days.",,,,1,,,
G:	 So; would people come to Florida and come to both things?,,,,,,,
F: 	 No.,,,,,,,
G:	 Why not?,,,,,,,
F:	 I’ve done all of mine right here.,,,,,,,
F:	 Right up and down that river right there.,,,,,,,
F:	 The head water of the Silver river; that’s the beginning of it; I’d bring you down.,,,,,,,
F:	 That’s where all my training; that’s where I got it right there.,,,,,,,
G: 	 How were you trained as a boat driver?,,,,,,,
G: 	 What was the training?,,,,,,,
F:	 The training; oh the change?,,,,,,,
G:	 The training on how you became a boat driver.,,,,,,,
F:	 Oh; I guess like doing what I was doing.,,,,,,,
F:	 All we done was just ride with another captain.,,,,,0,,
F:	 And see what he does and you take it from there.,,,,,,,
F:	 Sometimes you do good; sometimes better than one you rode with.,,,,,,,
F:	 In my case it happened many times.,,,,,,,
G:	 So when Silver Springs was segregated you drove white and black people in the boats?,,,,,,,
F: 	 Absolutely; absolutely-- ,,,,,,,
G:	 Interesting--,,,,,,,
F:	 Yeah.,,,,,,,
G:	 So; was there ever any backlash because you were a black boat driver?,,,,,,,
F:	 Not necessarily; no.,,,,,,,
F:	 We had both; we had black captains and white captains also.,,,,,,,
G:	 I didn’t know there was white captains--,,,,,,,
F:	 Yeah!,,,,,,,
G:	 I thought they were always black captains.,,,,,,,
G:	 Interesting.,,,,,,,
F:	 We had a few.,,,,,,,
F:	 We had some here.,,,,,,,
F:	 Up there’s a picture of some of us you might wanna look at that; too; before you walk out of here.,,,,,,,
G:	 Yeah; I will.,,,,,,,
F:	 I don’t know; but that one was done back in 72.,,,,,,,
F:	 A lot of them have already gone back in that day.,,,,,,,
F:	 But; that’s what it was.,,,,,,,
F:	  Wasn’t nothing but a string of us; Twenty-some of us.,,,,,,,
G:	 Wow!,,,,,,,
G:	 How many boats were there?,,,,,,,
F:	 Twenty-Five.,,,,,,,
F:	 Look in front of ya.,,,,,,,
F:	 That’s what we were running.,,,,,,,
G:	 And they were all full; everyday?,,,,,,,
"F:	  Always glass-bottom, yeah; we had a jumbo boat; which was a much larger boat.",,,,,,,
F:	 I don’t think he’s on- in this.,,,,,,,
"F:	I think that uh, mostly somewhere; I look at a picture we had made up there- on there, somewhere’s the captain it was in 72; I wanna say.",,,,,,,
F:	 It’s up there anyway; you take a look at it.,,,,,,,
F:	 But that’s what we done.,,1,,,,,
F:	 We was here back in the day; and that’s what we used to do.,,,,,,,
G:	 So; what- did Paradise Park opening affect your job at all?,,,,,,,
F:	 No.,,,,,,,
F:	 Paradise was here when I come here.,,,,,,,
G:	 Oh; Paradise was here- Oh; right!,,,,,,,
G:	 You’re right.,,,,,,,
G:	 So wdas it different; then; when you had to go over there or--?,,,,,,,
F:	 A lot of times; we go there all the time anyway.,,,,,,,
F:	 A lot of the time they would call; they had one or two boats there.,,,,,,,
F:	 Sometimes the crowd got larger.,,,,,,,
F:	 If it did they’d just call the phone; the PD bell rang ; whoever was workin’ the front-- Alright guys; “We need one to PD Anybody wanna go volunteer or I’m gonna draft somebody?”,,,,,,,
F:	 That’s the way we acted.,,,,,,,
F:	 We’d go down there—I enjoyed it all.,,,,,,,
G:	 So; were you born here; in Ocala?,,,,,,,
F:	 Not in Ocala.,,,,,,,
F:	 Fort McCoy.,,,,,,,
G:	 Fort McCoy?,,,,,,,
G:	 When were you born?,,,,,,,
F:	 19. Fort McCoy ; I was born 19…,,,,,,,
F:	 Can’t even think of my birthday.,,,,,,,
F:	 32.,,,,,,,
G:	 1932?,,,,,,,
G:	 What did your parents do?,,,,,,,
F:	 They did a little of everything just here and there. Different time to what it is today. ,,,,,,,
"F:	 I lost my father at an early age; too; at forty-five years. When I got there, I thought about it; Lord have mercy. ",,,,,,,
F:	  He was a young guy; but technology just wasn’t where it was that day; like it is today.,,,,,,,
F:	 So many problems people had then; knock it out like nothing. ,,,,,,,
F:	 Then he just wasn’t there.,,,,,,,
G:	 How did having Paradise Park here change Silver Springs as a whole?,,,,,,,
F:	 How did what now?,,,,,,,
G:	 Having Paradise Park—Did it change Silver Springs; do you think?,,,,,,,
F:	 Well; yeah.,,,,,,,
F:	 This come up during segregation days.,,,,,,,
F:	 And this is the purpose of all what you’re seeing in here right now.,,,,,,,
F:	 Yes; there was a change.,,,,,,,
F:	 Yeah; it was change.,,,,,,,
F:	 I never felt too much of a bite from it; cause I enjoyed doing what I was doin’.,,,,,,,
F:	 And most people that I rode—that’s what made me; a sort of interesting thing.,,,,,,,
F:	 Because you made a lot of peoples happy and that was my goal; to make somebody happy.,,1*,,,,,
F:	 I’m not here to offend anybody; I’m here to try and make them happy.,,,,,,,
F:	 And that’s what I done.,,,,,0,,
F:	 And; that’s the purpose of me putting in the time that I did.,,,,,,,
G:	 Make people happy.,,,,,,,
F:	 Yeah; makin’ people happy; that’s the bottom line.,,1*,,,,,
F:	 But it was something out there to make them happy; back in those days.,,,,,,,
F:	 We would go back in there; I could take it and spin that boat around; I don’t care where in that river and I’d have that boat-  a glass full of fish; anywhere in the river.,,,,,,,
F:	 We’d feed them bread back in the day.,,,,,,,
F:	 So; it made a few changes in the feeding system; things like that.,,,,,,,
F:	 But; still; fun place to work.,,,,,,,
G:	 How- How have you seen Silver Springs change over the years?,,,,,,,
F:	 Well; attendance has dropped.,,,,,,,
F:	  And; I’m gonna say this to ya.,,,,,,,
F:	 The state is there.,,,,,,,
F:	 When I was here; under those three guys—those are the ones that hired me on the wall.,,,,,,,
F:	 It was a theme park.,,,,,,,
F:	 All right?,,,,,,,
F:	 The state come in and changed it to be a state park.,,,,,,,
F:	 A lot of things we could do when it was a theme park; state didn’t want it to be that way.,,,,,,,
F:	 And that’s what’s making it slightly changed.,,,,,,,
G:	 And that’s why you think people don’t come as much?,,,,,,,
F:	 Yes.,,,,,,,
F:	 That hurt the attendance; definitely.,,,,,,,
G:	 Interesting.,,,,,,,
G:	 So; with Paradise Park—what kind of events would go on there?,,,,,,,
G:	 Did you get to participate in any of them?,,,,,,,
F:	 Yeah.,,,,,,,
F:	 We done some of everything.,,,,,,,
F:	 Sometime we would go down there—we’d ride on Sundays.,,,,,,,
F:	 Sometime; we would go down; that’s where we used to turn around—at Paradise Park.,,,,,,,
G:	 Oh; okay!,,,,,,,
F:	 And; we’d go down there and sometimes they’d have fifteen to twenty converts; baptizing right in the Silver River.,,,,,,,
